framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,6144,4096,1024,10,512,1,1,power_law_1.01,1.0930047988891602
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,8,4096,1024,10,512,16,1,power_law_1.2,0.04556800127029419
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,6144,6144,2560,8,160,1,4,power_law_1.01,1.9434560775756835
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,384,7168,2048,8,256,1,2,balanced,1.0317333539326985
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,12288,4096,1024,10,512,2,1,power_law_1.01,1.0108287811279297
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,512,7168,2048,8,256,1,2,balanced,1.0573919614156086
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,1,7168,2048,8,384,1,4,power_law_1.2,0.06096640229225159
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,768,7168,2048,8,256,1,2,balanced,1.2451626459757488
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,8192,4096,1024,10,512,1,1,power_law_1.01,1.193331241607666
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,8192,6144,2560,8,160,1,4,power_law_1.01,2.4323200225830077
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,16384,4096,1024,10,512,2,1,power_law_1.01,1.269983959197998
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,1024,7168,2048,8,256,1,2,balanced,1.280735969543457
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,1536,7168,2048,8,256,1,2,balanced,1.3626453081766765
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,12288,4096,1024,10,512,1,1,power_law_1.01,1.5232000350952148
