framework,framework_version,system,model,phase,tp_size,batch_size,seq_len_q,seq_len_kv_cache,latency_ms,rms_latency_ms,rms_kernel_count,source,measurement_mode,attribution_target
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,8,8,3.230768,0.11044975,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,16,8,3.2958895000000004,0.1110415,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,32,8,3.1918810000000004,0.109747,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,64,8,3.32412425,0.114234,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,128,8,3.7961105,0.11837725,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,256,8,4.490449249999999,0.13243275,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,512,8,7.00239175,0.2049395,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,1024,8,11.365511,0.32154275,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,2048,8,23.71964425,0.6731895,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,4096,8,50.801578500000005,1.3706837500000002,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,8192,8,104.708764,2.6488625000000003,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
