framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,16384,16384,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.6279520034790039
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,16384,16384,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,1.1688703536987304
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,16384,16384,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.8605152130126953
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,16384,16384,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,1.8948448181152344
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,16384,16384,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,1.8349855422973633
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,32768,32768,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.8706208229064941
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,32768,32768,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,2.4352928161621095
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,32768,32768,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.7641215801239014
vLLM,0.20.0,NVIDIA GB300,gdn,causal_conv1d_fn,context,1,32768,32768,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.7067232131958008
vLLM,0.20.0,NVIDIA GB300,gdn,chunk_gated_delta_rule,context,1,32768,32768,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,2.308755111694336
