framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency,vllm_max_model_len,vllm_max_num_seqs,vllm_max_num_batched_tokens,used_cuda_graph
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,1,1,sampled_zipf_0.4,0.0168746672570705,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,1,1,sampled_zipf_0.4,0.021216000119845,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,3,2048,512,8,256,1,1,sampled_zipf_0.4,0.0362079987923304,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,1,1,sampled_zipf_0.4,0.0397600010037422,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,5,2048,512,8,256,1,1,sampled_zipf_0.4,0.0515786657730738,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,6,2048,512,8,256,1,1,sampled_zipf_0.4,0.052576000491778,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,7,2048,512,8,256,1,1,sampled_zipf_0.4,0.0634666681289672,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,512,8,256,1,1,sampled_zipf_0.4,0.0663253317276636,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,16,2048,512,8,256,1,1,sampled_zipf_0.4,0.0980533361434936,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,1,1,sampled_zipf_1.2,0.0169866668681303,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,1,1,sampled_zipf_1.2,0.0209493339061737,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,3,2048,512,8,256,1,1,sampled_zipf_1.2,0.0315146669745445,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,1,1,sampled_zipf_1.2,0.0328959996501604,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,5,2048,512,8,256,1,1,sampled_zipf_1.2,0.0403893341620763,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,6,2048,512,8,256,1,1,sampled_zipf_1.2,0.0377493326862653,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,7,2048,512,8,256,1,1,sampled_zipf_1.2,0.0423893332481384,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,512,8,256,1,1,sampled_zipf_1.2,0.051637331644694,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,16,2048,512,8,256,1,1,sampled_zipf_1.2,0.0741653343041737,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,2,1,sampled_zipf_1.2,0.0168640005091826,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,2,1,sampled_zipf_1.2,0.0170773329834143,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,3,2048,512,8,256,2,1,sampled_zipf_1.2,0.0192586667835712,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,2,1,sampled_zipf_1.2,0.0191520005464553,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,5,2048,512,8,256,2,1,sampled_zipf_1.2,0.0209173336625099,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,6,2048,512,8,256,2,1,sampled_zipf_1.2,0.0203573331236839,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,7,2048,512,8,256,2,1,sampled_zipf_1.2,0.0231893335779507,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,512,8,256,2,1,sampled_zipf_1.2,0.0341386670867602,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,16,2048,512,8,256,2,1,sampled_zipf_1.2,0.0456479986508687,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,2,1,sampled_zipf_0.4,0.0167306661605834,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,2,1,sampled_zipf_0.4,0.0187573333581288,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,3,2048,512,8,256,2,1,sampled_zipf_0.4,0.0190719999372959,,,,
