phase,source,lane,group,kclass,start_us,dur_us
prefill_captured,golden,memory,backbone,elementwise,3489.124,2.336
prefill_captured,golden,memory,backbone,gdn_mamba,3491.88,2.08
prefill_captured,golden,memory,backbone,gdn_mamba,3504.603,4.224
prefill_captured,golden,memory,backbone,elementwise,3516.517,1.632
prefill_captured,golden,memory,backbone,gdn_mamba,3529.869,13.312
prefill_captured,golden,memory,backbone,gdn_mamba,3560.98,5.76
prefill_captured,golden,memory,backbone,gdn_mamba,3593.65,10.336
prefill_captured,golden,memory,backbone,gdn_mamba,3621.343,5.184
prefill_captured,golden,memory,backbone,elementwise,3642.725,1.792
prefill_captured,golden,memory,backbone,elementwise,3648.042,6.624
prefill_captured,golden,memory,backbone,elementwise,3687.542,1.344
prefill_captured,golden,memory,backbone,elementwise,3688.969,4.128
prefill_captured,golden,memory,backbone,elementwise,3693.235,1.6
prefill_captured,golden,compute,backbone,dense_gemm,3694.949,4.353
prefill_captured,golden,comm,comm,all_reduce,3699.379,22.401
prefill_captured,golden,compute,moe,shared_expert,3836.131,2.56
prefill_captured,golden,compute,backbone,dense_gemm,3838.76,4.992
prefill_captured,golden,compute,backbone,dense_gemm,3839.016,8.352
prefill_captured,golden,compute,moe,router,3843.464,7.84
prefill_captured,golden,compute,moe,shared_expert,3847.848,1.632
prefill_captured,golden,compute,backbone,dense_gemm,3849.608,3.648
prefill_captured,golden,compute,moe,moe_gemm,3851.848,22.24
prefill_captured,golden,compute,backbone,dense_gemm,3869.0,3.68
prefill_captured,golden,compute,moe,moe_gemm,3871.72,12.576
prefill_captured,golden,compute,backbone,dense_gemm,3882.568,4.096
prefill_captured,golden,compute,moe,router,3883.4,3.072
prefill_captured,golden,memory,backbone,elementwise,3886.74,1.632
prefill_captured,golden,memory,backbone,elementwise,3888.448,4.192
prefill_captured,golden,comm,comm,all_reduce,3892.877,1.664
prefill_captured,golden,comm,comm,all_reduce,3894.617,22.401
prefill_captured,golden,memory,backbone,elementwise,3918.132,2.56
prefill_captured,golden,compute,backbone,dense_gemm,3920.628,6.848
prefill_captured,golden,compute,backbone,dense_gemm,3926.164,4.224
prefill_captured,golden,compute,backbone,dense_gemm,3929.748,2.624
prefill_captured,golden,memory,backbone,elementwise,3932.448,2.016
prefill_captured,golden,memory,backbone,gdn_mamba,3935.204,6.528
prefill_captured,golden,memory,backbone,gdn_mamba,3942.053,2.528
prefill_captured,golden,memory,backbone,elementwise,3944.955,2.144
